YT,#genre#
寰宇新闻,https://www.youtube.com/live/6IquAgfvYmc

寰宇新闻台湾台,https://www.youtube.com/watch?v=w87VGpgd90U

東森live,https://www.youtube.com/watch?v=E0zhe2gkXBs
東森Live,https://www.youtube.com/watch?v=V1p33hqPrUk
中天新聞,https://www.youtube.com/live/oIgbl7t0S_w?feature=share

中天新闻1台,https://www.youtube.com/watch?v=oIgbl7t0S_w
CTI+,https://www.youtube.com/watch?v=WPfPjbOLNfE
TVBS新聞,https://www.youtube.com/watch?v=2mCSYvcfhtc
TVBS新聞,https://www.youtube.com/watch?v=2mCSYvcfhtcK
TVBS HD,https://www.youtube.com/watch?v=o_-hSMgpAzs
TVBS NEWS LIVE,https://www.youtube.com/watch?v=m_dhMSvUCIc

TVBS NEWS,https://www.youtube.com/live/m_dhMSvUCIc?si=j1eeSuUqt_6ogp6Z

Live三立,https://www.youtube.com/watch?v=FoBfXvlOR6I

民视新闻台,https://www.youtube.com/live/ylYJSBUgaMA
中视新闻,https://www.youtube.com/watch?v=TCnaIE_SAtM
台视新闻台,https://www.youtube.com/watch?v=xL0ch83RAK8
台视新闻台,https://www.youtube.com/live/xL0ch83RAK8?si=6PbDs2DOrlT9Og14
华视新闻,https://www.youtube.com/live/wM0g8EoUZ_E
鳳凰資訊,https://www.youtube.com/watch?v=HFib76ySpbU
鳳凰資訊2,https://www.youtube.com/watch?v=a3WZVssKlAI

鏡新闻,https://www.youtube.com/live/5n0y6b0Q25o

NHK WORLD,https://www.youtube.com/watch?v=f0lYkdA-Gtw
Sky News,https://www.youtube.com/watch?v=w9uJg68CV4g
FRANCE 24,https://www.youtube.com/watch?v=h3MuIUNCCzI
澳洲ABCNews,https://www.youtube.com/watch?v=vOTiJkg1voo
Euronews English,https://www.youtube.com/watch?v=pykpO5kQJ98
DW,https://www.youtube.com/watch?v=pqabxBKzZ6M
CNN,https://www.youtube.com/watch?v=MZyUCxr046Q
CNN News,https://www.youtube.com/watch?v=78UnBnAidZ0-


KBS KOREA,https://www.youtube.com/watch?v=HnfpTMtfFk8
NBC NEW,https://www.youtube.com/watch?v=7-JR7DjKF_c

Fox new,https://www.youtube.com/watch?v=YDfiTGGPYCk
迪士尼 XD,https://www.youtube.com/live/Fjp2TdlTTIU?feature=shared

迪士尼最佳歌曲2023,https://youtu.be/dpIbmKroTgA?si=YILikSplg7x284_Y
台灣地震監視,https://www.youtube.com/watch?v=Owke6Quk7T0

凤凰代理,#genre#

凤凰资讯,http://php.861686.xyz/fengshows.php?id=fhzx
凤凰中文,http://php.861686.xyz/fengshows.php?id=fhzw
凤凰香港,http://php.861686.xyz/fengshows.php?id=fhhk

凤凰资讯,https://tv.iill.top/phenix/fhzx
凤凰中文,https://tv.iill.top/phenix/fhzw
凤凰香港,https://tv.iill.top/phenix/fhhk

