油管新闻,#genre#
寰宇新聞,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/live/6IquAgfvYmc
寰宇新聞2台,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=w87VGpgd90U
鏡新聞,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=5n0y6b0Q25o
東森Live,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=E0zhe2gkXBs
東森新闻,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=2dfAzcDf8Zg
中天新聞,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=oIgbl7t0S_w
中天新聞,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/live/oIgbl7t0S_w?feature=share
中天新聞2,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=WPfPjbOLNfE
三立live,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=FoBfXvlOR6I
三立inews,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=CKjSm5ZeehE
三立NEWS+,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=oZdzzvxTfUY

TVBS新聞,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=2mCSYvcfhtc
TVBSNEWSLIVE,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=m_dhMSvUCIc
民視新聞,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=ylYJSBUgaMA
華視新聞,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=wM0g8EoUZ_E
中視新聞,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=TCnaIE_SAtM
台視新聞,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=xL0ch83RAK8
鳳凰資訊,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=http://www.youtube.com/watch?v=if6yQq_JJyY
凤凰卫视,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=http://www.youtube.com/watch?v=dmDg7NfUoSw
EBC東森財經,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=WHEPzbFA3hw
三立財經,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=CKjSm5ZeehE
NHKWORLD,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=f0lYkdA-Gtw
NHKWORLD,https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8?zshijd

SkyNews,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=9Auq9mYxFEE
FRANCE24,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=h3MuIUNCCzI
ABCNews,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=w_Ma8oQLmSM
EuronewsEnglish,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=pykpO5kQJ98
DW,http://127.0.0.1:9978/proxy?do=yt&proxy=socks5://127.0.0.1:10072&url=https://www.youtube.com/watch?v=pqabxBKzZ6M
