央视高清,#genre#
CCTV1 4M FHD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000001000004953&livemode=1&stbId=toShengfen&mode=1
CCTV1 4M FHD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000010000030810&livemode=1&stbId=toShengfen&mode=1
CCTV1 4M FHD HEVC,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000011000265001&livemode=1&stbId=toShengfen&mode=1
CCTV1 4M FHD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=hnbblive&Contentid=2000000002000000052&livemode=1&stbId=toShengfen&mode=1
CCTV1 2M SD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=hnbblive&Contentid=5510876839019192947&livemode=1&stbId=toShengfen&mode=1
CCTV1 2M SD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=hnbblive&Contentid=9198071806334826260&livemode=1&stbId=toShengfen&mode=1
CCTV1 2M HD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=wasusyt&Contentid=5068253659616166748&livemode=1&stbId=toShengfen&mode=1
CCTV1 4M FHD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=toShengfen&mode=1
CCTV1 2M HD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=reallive-cctv1&livemode=1&stbId=toShengfen&mode=1
CCTV1 2M HD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=reallive-hdcctv1&livemode=1&stbId=toShengfen&mode=1
CCTV2 4M FHD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000005000031113&livemode=1&stbId=toShengfen&mode=1
CCTV2 2M SD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=hnbblive&Contentid=7501364488890008391&livemode=1&stbId=toShengfen&mode=1
CCTV2 2M HD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=wasusyt&Contentid=8878432746825677699&livemode=1&stbId=toShengfen&mode=1
CCTV2 4M FHD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=toShengfen&mode=1
CCTV2 2M HD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=5353323539453949720&livemode=1&stbId=toShengfen&mode=1
CCTV3 4M FHD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000002000020548&livemode=1&stbId=toShengfen&mode=1
CCTV3 4M FHD HEVC,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000011000265003&livemode=1&stbId=toShengfen&mode=1
CCTV3 4M FHD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=toShengfen&mode=1
CCTV3 2M HD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=8378175926191110263&livemode=1&stbId=toShengfen&mode=1
CCTV4 4M FHD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000005000030093&livemode=1&stbId=toShengfen&mode=1
CCTV4 4M FHD HEVC,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000011000265004&livemode=1&stbId=toShengfen&mode=1
CCTV4 2M SD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=hnbblive&Contentid=8830950643842119430&livemode=1&stbId=toShengfen&mode=1
CCTV4 2M SD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=wasusyt&Contentid=4719673858948437836&livemode=1&stbId=toShengfen&mode=1
CCTV4 4M FHD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1&stbId=toShengfen&mode=1
CCTV4 2M HD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=8183388942203045169&livemode=1&stbId=toShengfen&mode=1
CCTV5 4M FHD,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000010000016619&livemode=1&stbId=toShengfen&mode=1
CCTV5 4M FHD HEVC,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000011000265005&livemode=1&stbId=toShengfen&mode=1
